,sig_pos,sig_vel,sig_GPS,Ground Truth,GPS measurement,IMU measurement,BS estimates,IMU estimates,GPS estimates,no of simulations
0,0.0,0.0,0.01,0.9945,0.9865,0.5045,0.999,0.922,0.9935,2000
1,0.0,0.0,0.05,0.9965,0.702,0.513,0.998,0.9295,0.984,2000
2,0.0,0.0,0.1,0.9965,0.519,0.502,0.999,0.929,0.972,2000
3,0.0,0.0,0.5,0.997,0.467,0.5195,0.998,0.9385,0.9985,2000
4,0.0,0.0,1.0,0.998,0.5715,0.5115,0.9995,0.9205,1.0,2000
5,0.0,0.1,0.01,0.2775,0.2785,0.2795,0.213,0.257,0.27,2000
6,0.0,0.1,0.05,0.29,0.289,0.281,0.2135,0.267,0.266,2000
7,0.0,0.1,0.1,0.284,0.2875,0.276,0.209,0.2625,0.2375,2000
8,0.0,0.1,0.5,0.2735,0.3255,0.278,0.206,0.2525,0.1505,2000
9,0.0,0.1,1.0,0.29,0.448,0.294,0.222,0.2715,0.0995,2000
10,0.0,0.2,0.01,0.2495,0.2515,0.2475,0.2015,0.241,0.2465,2000
11,0.0,0.2,0.05,0.253,0.256,0.255,0.213,0.247,0.2405,2000
12,0.0,0.2,0.1,0.237,0.2335,0.2305,0.199,0.226,0.2135,2000
13,0.0,0.2,0.5,0.259,0.2415,0.2535,0.2155,0.25,0.1605,2000
14,0.0,0.2,1.0,0.2465,0.303,0.24,0.2025,0.2335,0.11,2000
15,0.0,0.4,0.01,0.163,0.1615,0.1525,0.1365,0.1605,0.1605,2000
16,0.0,0.4,0.05,0.1645,0.1605,0.161,0.1345,0.164,0.1585,2000
17,0.0,0.4,0.1,0.149,0.1455,0.151,0.118,0.1445,0.133,2000
18,0.0,0.4,0.5,0.1575,0.1315,0.1515,0.1235,0.1535,0.0965,2000
19,0.0,0.4,1.0,0.159,0.1635,0.1525,0.1295,0.1595,0.065,2000
20,0.0,0.8,0.01,0.0555,0.0555,0.0565,0.042,0.0535,0.054,2000
21,0.0,0.8,0.05,0.067,0.0665,0.0625,0.052,0.066,0.06,2000
22,0.0,0.8,0.1,0.0635,0.061,0.0605,0.0505,0.0615,0.0555,2000
23,0.0,0.8,0.5,0.056,0.0525,0.055,0.048,0.056,0.0365,2000
24,0.0,0.8,1.0,0.0545,0.07,0.055,0.043,0.0525,0.0225,2000
25,0.0,1.6,0.01,0.0225,0.022,0.0225,0.0195,0.022,0.0215,2000
26,0.0,1.6,0.05,0.0195,0.017,0.0175,0.014,0.0165,0.015,2000
27,0.0,1.6,0.1,0.017,0.018,0.0175,0.0145,0.016,0.0145,2000
28,0.0,1.6,0.5,0.018,0.015,0.0165,0.0145,0.0175,0.011,2000
29,0.0,1.6,1.0,0.0265,0.029,0.0225,0.0185,0.025,0.0065,2000
30,0.01,0.0,0.01,0.4575,0.4585,0.419,0.1315,0.181,0.3885,2000
