,sig_pos,sig_vel,sig_GPS,Ground Truth,GPS measurement,IMU measurement,BS estimates,IMU estimates,GPS estimates,no of simulations
0,0.0,0.0,0.01,1.0,0.995,0.5,1.0,0.94,1.0,200
1,0.0,0.0,0.02,1.0,0.925,0.475,0.995,0.96,0.99,200
2,0.0,0.0,0.04,0.995,0.81,0.5,0.995,0.925,0.995,200
3,0.0,0.0,0.08,0.995,0.565,0.485,1.0,0.96,0.98,200
4,0.0,0.0,0.16,1.0,0.445,0.5,1.0,0.91,0.955,200
5,0.0,0.1,0.01,0.205,0.21,0.215,0.145,0.19,0.19,200
6,0.0,0.1,0.02,0.29,0.29,0.28,0.24,0.27,0.275,200
7,0.0,0.1,0.04,0.31,0.31,0.325,0.2,0.29,0.29,200
8,0.0,0.1,0.08,0.25,0.255,0.245,0.165,0.205,0.2,200
9,0.0,0.1,0.16,0.335,0.335,0.325,0.275,0.33,0.285,200
10,0.0,0.2,0.01,0.27,0.265,0.255,0.22,0.26,0.265,200
11,0.0,0.2,0.02,0.31,0.3,0.3,0.255,0.3,0.3,200
12,0.0,0.2,0.04,0.305,0.315,0.325,0.27,0.3,0.29,200
13,0.0,0.2,0.08,0.245,0.235,0.24,0.205,0.235,0.235,200
14,0.0,0.2,0.16,0.295,0.28,0.285,0.235,0.285,0.25,200
15,0.0,0.4,0.01,0.145,0.145,0.165,0.125,0.14,0.15,200
16,0.0,0.4,0.02,0.14,0.13,0.135,0.1,0.135,0.135,200
17,0.0,0.4,0.04,0.115,0.115,0.11,0.095,0.115,0.11,200
18,0.0,0.4,0.08,0.14,0.14,0.145,0.105,0.145,0.135,200
19,0.0,0.4,0.16,0.14,0.12,0.135,0.09,0.135,0.105,200
20,0.0,0.8,0.01,0.04,0.035,0.025,0.01,0.04,0.035,200
21,0.0,0.8,0.02,0.06,0.055,0.065,0.045,0.065,0.07,200
22,0.0,0.8,0.04,0.08,0.075,0.08,0.06,0.08,0.08,200
23,0.0,0.8,0.08,0.065,0.04,0.045,0.015,0.05,0.035,200
24,0.0,0.8,0.16,0.075,0.065,0.08,0.055,0.07,0.055,200
25,0.0,1.6,0.01,0.025,0.025,0.025,0.02,0.02,0.025,200
26,0.0,1.6,0.02,0.02,0.02,0.015,0.01,0.02,0.01,200
27,0.0,1.6,0.04,0.015,0.02,0.03,0.015,0.015,0.015,200
28,0.0,1.6,0.08,0.02,0.01,0.015,0.005,0.02,0.01,200
29,0.0,1.6,0.16,0.005,0.0,0.0,0.0,0.005,0.005,200
30,0.01,0.0,0.01,0.475,0.49,0.4,0.18,0.225,0.43,200
